world_x,world_y,world_heading,local_vx,local_vy,slip_angle,yaw_rate,steer,throttle,hand_brake,brake,time,total_v
313.7358093261719,-221.6215362548828,24.50473403930664,17.411665097624255,0.4571421775505966,1.5039516259692396,-46.60576248168945,-0.14015260338783264,1.0,0,0.0,174.6776773929596,17.417665183437254
314.2194519042969,-221.3806915283203,23.053979873657227,17.399709552100315,0.4824983340834281,1.5884193791390937,-46.83506774902344,-0.13813365995883942,1.0,0,0.0,174.70974850654602,17.406398166761676
314.97821044921875,-221.03126525878906,20.801786422729492,17.382061360283572,0.5242727628690673,1.7276151823749428,-46.95985794067383,-0.13331319391727448,1.0,0,0.0,174.75545811653137,17.389966045468565
315.73236083984375,-220.71653747558594,18.600643157958984,17.36638780289383,0.5676785815780789,1.8722379318595836,-46.771236419677734,-0.12713408470153809,1.0,0,0.0,174.8034110069275,17.375663564091074
316.5054016113281,-220.42633056640625,16.394390106201172,17.35290667430992,0.6123974978738351,2.0211736039338595,-46.254188537597656,-0.11984066665172577,1.0,0,0.0,174.8514380455017,17.363709302528417
317.2899475097656,-220.16261291503906,14.215213775634767,17.329156285867718,0.6567491325622381,2.170385769354483,-45.4048957824707,-0.11160805076360703,1.0,0,0.0,174.90194606781006,17.341596725882823
317.8242492675781,-220.00125122070312,12.771758079528809,17.288510251193085,0.6847442230433063,2.268122494100138,-44.61729049682617,-0.10569801181554794,1.0,0,0.0,174.93411016464233,17.302065233855743
318.0816345214844,-219.92837524414062,12.088834762573242,17.267098527964848,0.6973033475693473,2.3125392083520477,-44.16860580444336,-0.10220300406217575,1.0,0,0.0,174.94759917259216,17.28117251615113
318.3542175292969,-219.85472106933594,11.37546443939209,17.244717370485375,0.7093909904445366,2.3556319249013797,-43.65658950805664,-0.09928673505783081,1.0,0,0.0,174.96604871749878,17.259302209685185
318.88720703125,-219.72052001953125,10.011143684387207,17.202496397757145,0.7310546015143506,2.4334349374722617,-42.5211067199707,-0.0923418179154396,1.0,0,0.0,174.9986457824707,17.21802320666466
319.62091064453125,-219.55625915527344,8.204743385314941,17.147701885781483,0.7544083159797053,2.519087306471428,-40.72773361206055,-0.08466185629367828,1.0,0,0.0,175.04350924491882,17.164288854212785
320.38543701171875,-219.41001892089844,6.41970682144165,17.095554621811075,0.7720587154519072,2.585799102367612,-38.57401657104492,-0.07159104943275452,1.0,0,0.0,175.09173250198364,17.11297935741849
321.2085876464844,-219.2784881591797,4.622417449951172,17.04567243763582,0.7890018996795678,2.6501879450969255,-35.83123779296875,-0.058746639639139175,1.0,0,0.0,175.1394238471985,17.06392313768658
321.9889831542969,-219.17727661132812,3.0546860694885254,17.004424756777002,0.8017325521572184,2.6994091330268732,-32.84573745727539,-0.04481145367026329,1.0,0,0.0,175.17163062095642,17.023314494953066
322.7777099609375,-219.0973358154297,1.630171537399292,16.969345913714488,0.810303821439083,2.7338561726998827,-29.393611907958984,-0.030423199757933617,1.0,0,0.0,175.2238564491272,16.988681320877657
323.05364990234375,-219.07415771484375,1.1723393201828003,16.95846091406614,0.812212469864594,2.7420420950970676,-28.090778350830078,-0.025551823899149895,1.0,0,0.0,175.23946857452393,16.97789991931018
