world_x,world_y
0.0013248955,-0.39807567
0.0021011429,-1.238714695
0.0043203919,-2.1626434326
0.0076596527,-3.114433527
0.0113998931,-3.9401214123
0.0164888967,-4.7415118217
0.0243179444,-5.6033606529
0.0361275598,-6.6321573257
0.0491425209,-7.5660729408
0.0632200688,-8.4391698837
0.0786008462,-9.2898578644
0.0961754322,-10.146065712
0.1168172807,-10.9537220001
0.1446950287,-11.8850488663
0.1744229048,-12.7525367737
0.213675648,-13.7608480453
0.2497019023,-14.6338062286
0.2845220864,-15.5237226486
0.3226652443,-16.5197029114
0.3538462818,-17.3550224304
0.3849066794,-18.1962776184
0.4141715765,-19.004327774
0.4500198662,-20.0152931213
0.4781232476,-20.8635292053
0.5061626434,-21.7727565765
0.5318057537,-22.6694126129
0.5532241464,-23.4742603302
0.5794437528,-24.5486621857
0.5998717546,-25.4762763977
0.6216164827,-26.5833930969
0.6379984617,-27.5381069183
0.652315557,-28.4955177307
0.6626322269,-29.2970619202
0.6730899811,-30.2637786865
0.6809785366,-31.1792697906
0.6863718033,-31.9966773987
0.6905884147,-32.9195137024
0.6929689646,-33.9664382935
0.6928079128,-35.005771637
0.6907706261,-35.8661117554
0.6869152188,-36.7437477112
0.6816711426,-37.5664901733
0.6743050814,-38.4490852356
0.6648384929,-39.3572044373
0.6503839493,-40.4862823486
0.6350300908,-41.4915618896
0.6192800999,-42.3924636841
0.599449873,-43.3992767334
0.5816312432,-44.2161521912
0.5598461032,-45.1306343079
0.5349213481,-46.0891799927
0.5025378466,-47.2282447815
0.477501899,-48.0440750122
0.4438368082,-49.070022583
0.4060676396,-50.1595497131
0.3725255132,-51.1103515625
0.3330502212,-52.2541694641
0.2993794084,-53.303943634
0.2735891342,-54.1617851257
0.241286099,-55.3197937012
0.219468534,-56.1683959961
0.1964593232,-57.1381874084
0.1735644341,-58.2025146484
0.1568375528,-59.073890686
0.14086245,-60.0364151001
0.1260935217,-61.1014404297
0.1166486964,-61.9386901855
0.1079958826,-62.9232406616
0.10199669,-63.9059753418
0.0989000574,-64.756362915
0.0977468565,-65.8158950806
0.0989394337,-66.6445388794
0.1031954736,-67.7128219604
0.1087487116,-68.5608901978
0.1194642782,-69.7211227417
0.1298205107,-70.5875244141
0.1470312178,-71.7599182129
0.1659845114,-72.8320083618
0.1882593334,-73.9160614014
0.2094121873,-74.827507019
0.234311372,-75.8290634155
0.2579040527,-76.8126525879
0.2814002633,-77.8131790161
0.304620713,-78.828704834
0.3295412362,-79.9565582275
0.3481239378,-80.8742141724
0.3668942153,-81.9820404053
0.3794800937,-82.8904800415
0.3904318213,-83.9002151489
0.3983744681,-84.9520263672
0.4031718373,-86.1773681641
0.4031509757,-87.4045181274
0.3988800645,-88.5256500244
0.3918032348,-89.5037841797
0.3818875849,-90.4570465088
0.3688092828,-91.4218063354
0.3528212905,-92.3784561157
0.3365797698,-93.2055053711
0.312903136,-94.2484970093
0.2920764983,-95.0574188232
0.2681807578,-95.8965530396
0.2405835837,-96.7749023438
0.2090279758,-97.6507492065
0.1703662425,-98.5790176392
0.1246460304,-99.4648590088
0.0695890859,-100.2780075073
-0.0084161134,-101.1108856201
-0.1090180576,-101.9243621826
-0.2341180891,-102.7762069702
-0.3758897185,-103.6131744385
-0.5347328782,-104.4386672974
-0.7271249294,-105.3167266846
-0.9259056449,-106.1182403564
-1.183997035,-107.0436706543
-1.4331763983,-107.8476257324
-1.7475918531,-108.755531311
-2.1012103558,-109.6640090942
-2.4477555752,-110.4622802734
-2.882791996,-111.3581695557
-3.264518261,-112.0621032715
-3.798197031,-112.9468688965
-4.2621765137,-113.6395263672
-4.7469654083,-114.297996521
-5.351793766,-115.0380325317
-5.9977941513,-115.7426376343
-6.5735907555,-116.3058547974
-7.2364006042,-116.8913421631
-7.9545030594,-117.4576568604
-8.7536649704,-118.0133666992
-9.4711351395,-118.4521484375
-10.2762489319,-118.8838348389
-11.0672626495,-119.2516174316
-11.8356208801,-119.5600662231
-12.6797113419,-119.8484039307
-13.4977006912,-120.0836105347
-14.4445457458,-120.3142852783
-15.5122261047,-120.5412368774
-16.4711055756,-120.7305908203
-17.2599163055,-120.8803329468
-18.2430076599,-121.0608139038
-19.1752490997,-121.2261123657
-20.095659256,-121.3811721802
-21.1265506744,-121.5439147949
-22.0863304138,-121.6873397827
-23.1668643951,-121.8418121338
-24.1844005585,-121.9809799194
-25.2934417725,-122.1244049072
-26.4198989868,-122.2599868774
-27.2446727753,-122.3536071777
-28.2013988495,-122.4572372437
-29.2695789337,-122.5670776367
-30.1476135254,-122.6526412964
-31.0195407867,-122.7334518433
-32.0280036926,-122.8217849731
-32.9194908142,-122.8952713013
-33.7841262817,-122.9624404907
-34.6749916077,-123.0274276733
-35.6943016052,-123.0965270996
-36.7271270752,-123.1608352661
-37.8498878479,-123.2242584229
-38.7484779358,-123.2701568604
-40.0133399963,-123.3274841309
-41.2742538452,-123.3762054443
-42.2047805786,-123.4067764282
-43.3883399963,-123.4390335083
-44.3629875183,-123.4600143433
-45.5586738586,-123.4789199829
-46.5101051331,-123.4885787964
-47.7123527527,-123.4939880371
-48.6029853821,-123.4939727783
-49.5850868225,-123.4914703369
