world_x,world_y,world_heading,local_vx,local_vy,slip_angle,yaw_rate,steer,throttle,hand_brake,brake
744.5903930664062,-359.4942932128906,167.4450225830078,28.495086852489514,0.7231625999260975,1.4537689867996293,-13.786860466003418,-0.026525994762778282,1.0,0,0.0
743.5215454101562,-359.28326416015625,166.9080352783203,28.552913091312156,0.7401469500099243,1.4848853559782966,-14.219215393066406,-0.028709666803479195,1.0,0,0.0
742.5170288085938,-359.07611083984375,166.38739013671875,28.606326318042615,0.7576726376132941,1.5171923024335392,-14.674004554748535,-0.03001999855041504,1.0,0,0.0
741.4791870117188,-358.8527526855469,165.83377075195312,28.66098588151454,0.7808596633693519,1.5606196947042448,-15.086409568786621,-0.03012079931795597,1.0,0,0.0
739.4627685546875,-358.3913269042969,164.72044372558594,28.765417574685877,0.834669818620843,1.662052837095567,-15.724252700805664,-0.03012079931795597,1.0,0,0.0
738.4414672851562,-358.1431579589844,164.1407928466797,28.81735937027645,0.8640555189563273,1.717433810241898,-15.979901313781738,-0.03012079931795597,1.0,0,0.0
737.4085693359375,-357.8821716308594,163.5457763671875,28.86923838926063,0.8940821698353689,1.7738870139210576,-16.200504302978516,-0.03012079931795597,1.0,0,0.0
736.337158203125,-357.6004333496094,162.92047119140628,28.92238944410372,0.9249276973916372,1.8316743757376204,-16.394786834716797,-0.03012079931795597,1.0,0,0.0
735.2640991210938,-357.3067932128906,162.2869720458984,28.974954790145407,0.955038061885074,1.8878320387531211,-16.5589656829834,-0.03012079931795597,1.0,0,0.0
734.2674560546875,-357.0237121582031,161.69297790527347,29.023174789044052,0.9818941654039888,1.9376565090877207,-16.687829971313477,-0.03012079931795597,1.0,0,0.0
733.048095703125,-356.662841796875,160.95960998535156,29.08160665647431,1.0134901705434984,1.995942649746037,-16.820749282836914,-0.03012079931795597,1.0,0,0.0
732.0164794921875,-356.3455810546875,160.3343048095703,29.130387222006693,1.0385046839968552,2.0417424390805454,-16.913463592529297,-0.03012079931795597,1.0,0,0.0
729.9749145507812,-355.6836242675781,159.08544921875,29.225567255182302,1.0837531741318234,2.1236900146008604,-17.05675506591797,-0.03012079931795597,1.0,0,0.0
728.9713745117188,-355.3412780761719,158.46658325195312,29.271751469667002,1.1039916904562048,2.1599014830231202,-17.111379623413086,-0.03012079931795597,1.0,0,0.0
727.9351196289062,-354.97564697265625,157.8244171142578,29.319096953344115,1.123585598022622,2.194652397704759,-17.159137725830078,-0.03012079931795597,1.0,0,0.0
726.9744262695312,-354.62567138671875,157.22636413574216,29.362648705619062,1.1405451165385596,2.2244446303326106,-17.196626663208008,-0.03012079931795597,1.0,0,0.0
725.988525390625,-354.2550964355469,156.60992431640628,29.407084736281845,1.1568954207517468,2.252894567507399,-17.229595184326172,-0.03012079931795597,1.0,0,0.0
724.9517822265625,-353.85284423828125,155.9590301513672,29.453563254913963,1.1729881323409792,2.2805992202869483,-17.25919532775879,-0.03012079931795597,1.0,0,0.0
723.0393676757812,-353.0766296386719,154.7513427734375,29.53863397441708,1.2002403485445825,2.3268137109882394,-17.290067672729492,-0.029952799901366234,1.0,0,0.0
722.0599975585938,-352.66143798828125,154.1306915283203,29.582162929337386,1.2138586490893992,2.349726218575373,-17.26024627685547,-0.029482414945960045,1.0,0,0.0
721.0934448242188,-352.2398681640625,153.51829528808594,29.62517058431319,1.2267807585499853,2.3712682044707414,-17.192975997924805,-0.028944846242666245,1.0,0,0.0
720.0963134765625,-351.7923889160156,152.8887481689453,29.669839597952244,1.2398871101388185,2.3929684131915354,-17.054492950439453,-0.02797054685652256,1.0,0,0.0
719.1546020507812,-351.3583984375,152.30703735351562,29.714200156521127,1.2609749209440952,2.4299903202835833,-16.497312545776367,-0.022192973643541336,1.0,0,0.0
718.1781616210938,-350.8972473144531,151.7380828857422,29.763341001400956,1.2890735272933007,2.479975078567488,-15.299371719360352,-0.013764296658337116,1.0,0,0.0
717.1839599609375,-350.4164123535156,151.20805358886722,29.81519351637688,1.3037592244543887,2.5038356581541503,-13.837810516357422,-0.009164685383439064,1.0,0,0.0
715.1651611328125,-349.40631103515625,150.321044921875,29.92742363345093,1.2835354483735664,2.455811942527753,-10.201513290405273,0.00013427734666038305,1.0,0,0.0
714.1178588867188,-348.86578369140625,149.97637939453125,29.98945373581101,1.2425242658538078,2.372524157090303,-8.077628135681152,0.004397611133754253,1.0,0,0.0
713.069580078125,-348.314453125,149.71360778808594,30.053725111692625,1.1774500979181415,2.243596656033211,-5.979665756225586,0.007083248347043991,1.0,0,0.0
712.0460815429688,-347.7670593261719,149.53582763671875,30.11849819012979,1.0956645628495778,2.0834134892587497,-3.9432408809661865,0.009869704954326153,1.0,0,0.0
711.0413818359375,-347.2220153808594,149.43334960937497,30.183476613924068,0.997474831983304,1.8927676332311525,-2.0948855876922607,0.011145480908453465,1.0,0,0.0
710.0195922851562,-346.66070556640625,149.39605712890625,30.250568846023015,0.8835282249178373,1.6729619990285096,-0.40707120299339294,0.011850530281662941,1.0,0,0.0
708.9505615234375,-346.06707763671875,149.42172241210938,30.321422078511784,0.7549315014144558,1.426234400193799,1.157703161239624,0.012421293184161186,1.0,0,0.0
707.92333984375,-345.4918212890625,149.50167846679688,30.389731707354215,0.6294054766823542,1.1864903380246856,2.5214130878448486,0.013361390680074692,1.0,0,0.0
706.8717041015625,-344.89947509765625,149.6375274658203,30.459489243714085,0.5037387564044362,0.9474707241765584,3.8827531337738037,0.0151745043694973,1.0,0,0.0
705.8778686523438,-344.33782958984375,149.81427001953125,30.524789089564386,0.38950870679572347,0.7310777521885465,5.157840251922607,0.017222771421074867,1.0,0,0.0
704.8548583984375,-343.7593994140625,150.05322265625,30.590639613745534,0.28271256470884687,0.5295010535620859,6.751589775085449,0.022192973643541336,1.0,0,0.0
703.8147583007812,-343.1728820800781,150.3641815185547,30.655529285894414,0.17837263749449406,0.33337816657710617,8.598523139953613,0.02729864791035652,1.0,0,0.0
702.3660888671875,-342.3616027832031,150.92544555664062,30.741652004293933,0.028431117342247347,0.052989429249704824,11.411293029785156,0.033245883882045746,1.0,0,0.0
701.2578735351562,-341.74749755859375,151.4521942138672,30.804039527104692,-0.09701371238881329,-0.18044574924512605,13.499146461486816,0.037245601415634155,1.0,0,0.0
